sample_id,nCount_RNA_min,nCount_RNA_max,nFeature_RNA_min,nFeature_RNA_max,nCount_ATAC_min,nCount_ATAC_max,percent_mt_max,TSS_enrichment_min,nucleosome_signal_max,frip_min,approved,reviewer,review_date,decision_notes
Ppar-CON-1,300,8303,250,3726,500,19986,25,1,4,0.1,TRUE,Dominic Saiz,2026-08-17,"Lower thresholds manually reviewed. RNA minimum reduced from 500 to 300 because cells at 300-499 UMIs generally retained adequate gene complexity and independent QC metrics, whereas most 200-299 UMI cells failed the 250-feature criterion. ATAC minimum reduced from 1000 to 500 because 500-999 count nuclei showed strong TSS enrichment and FRiP. Other thresholds retained as broad safety bounds."
Ppar-HFD-1,300,7509,250,3970,500,35924,25,1,4,0.1,TRUE,Dominic Saiz,2026-08-17,"Lower thresholds manually reviewed. RNA minimum reduced from 500 to 300 because cells at 300-499 UMIs generally retained adequate gene complexity and independent QC metrics, whereas most 200-299 UMI cells failed the 250-feature criterion. ATAC minimum reduced from 1000 to 500 because 500-999 count nuclei showed strong TSS enrichment and FRiP. Other thresholds retained as broad safety bounds."
