sample_id,cohort_id,group,run_id,pool_id,genotype,model_detail,diet,outs_dir,mice_pooled,female_mice,male_mice,pooling_design
Ppar-CON-1,ppar,PPAR,9554678,Ppar-CON-1,Ppara_Ppard_iKO,Villin-driven Cre; Ppara/Ppard conditional knockout,CON,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9554678_cellranger/Ppar-CON-1/outs,6,2,4,whole-litter pooled colon epithelial cells
Ppar-HFD-1,ppar,PPAR,9554678,Ppar-HFD-1,Ppara_Ppard_iKO,Villin-driven Cre; Ppara/Ppard conditional knockout,HFD,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9554678_cellranger/Ppar-HFD-1/outs,10,2,8,whole-litter pooled colon epithelial cells
VilB-CON-1,wt,WT,9724066,VilB-CON-1,Villin_Cre_control,Villin-driven Cre; no Ppara/Ppard/Il17ra floxed alleles,CON,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9724066_cellranger/VilB-CON-1/outs,7,4,3,whole-litter pooled colon epithelial cells
VilB-HFD-1,wt,WT,9724066,VilB-HFD-1,Villin_Cre_control,Villin-driven Cre; no Ppara/Ppard/Il17ra floxed alleles,HFD,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9724066_cellranger/VilB-HFD-1/outs,6,3,3,whole-litter pooled colon epithelial cells
IL17-CON-1,il17,IL17,9665758,IL17-CON-1,Il17ra_iKO,Villin-driven Cre; Il17ra conditional knockout,CON,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9665758_cellranger/IL17-CON-1/outs,4,2,2,whole-litter pooled colon epithelial cells
IL17-HFD-1,il17,IL17,9665758,IL17-HFD-1,Il17ra_iKO,Villin-driven Cre; Il17ra conditional knockout,HFD,/scratch/dsaiz/Yesenia_scData2026/cellranger_runs/v2_resequenced/9665758_cellranger/IL17-HFD-1/outs,4,3,1,whole-litter pooled colon epithelial cells
