sample_id,nCount_RNA_min,nCount_RNA_max,nFeature_RNA_min,nFeature_RNA_max,nCount_ATAC_min,nCount_ATAC_max,percent_mt_max,TSS_enrichment_min,nucleosome_signal_max,frip_min,approved,reviewer,review_date,decision_notes
Ppar-CON-1,300,8269,250,3718,500,52319,25,1,4,0.1,TRUE,Dominic Saiz,2026-08-22,"Thresholds manually reviewed using the v2 resequenced QC distributions. RNA minimum reduced from the automated suggestion of 500 to 300 because nuclei with 300-499 UMIs generally retained adequate gene complexity and passed independent QC metrics, whereas most nuclei with 200-299 UMIs failed the 250-feature criterion. ATAC minimum reduced from 1000 to 500 because nuclei with 500-999 ATAC counts generally retained strong TSS enrichment and FRiP. The v2-specific upper RNA, feature, and ATAC thresholds were retained from the sample-aware suggestions; the higher ATAC maximum reflects the increased depth obtained from ATAC resequencing. Mitochondrial, TSS enrichment, nucleosome signal, and FRiP thresholds were retained as broad quality bounds."
Ppar-HFD-1,300,7471,250,3975,500,60487,25,1,4,0.1,TRUE,Dominic Saiz,2026-08-22,"Thresholds manually reviewed using the v2 resequenced QC distributions. RNA minimum reduced from the automated suggestion of 500 to 300 because nuclei with 300-499 UMIs generally retained adequate gene complexity and passed independent QC metrics, whereas most nuclei with 200-299 UMIs failed the 250-feature criterion. ATAC minimum reduced from 1000 to 500 because nuclei with 500-999 ATAC counts generally retained acceptable TSS enrichment and FRiP. The v2-specific upper RNA, feature, and ATAC thresholds were retained from the sample-aware suggestions; the higher ATAC maximum reflects the increased depth obtained from ATAC resequencing. Mitochondrial, TSS enrichment, nucleosome signal, and FRiP thresholds were retained as broad quality bounds."
